@relation 'sysdev-weka.filters.unsupervised.attribute.Remove-R1-8,10,12-14,16-22'

@attribute x-mean1000 numeric
@attribute z-mean1000 numeric
@attribute abs-var1000 numeric
@attribute class {WALKING,STANDING,SITTING}

@data
-3.008859,8.093273,2.521024,SITTING
-3.176018,8.023623,3.021937,SITTING
-3.315317,7.926114,3.249216,SITTING
-3.440686,7.828604,3.260896,SITTING
-3.504279,7.781364,3.247465,SITTING
-3.624197,7.714743,3.251499,SITTING
-3.744115,7.661446,3.307726,SITTING
-4.027731,7.559293,3.310899,SITTING
-4.081461,7.536076,3.211435,SITTING
-4.20683,7.480357,3.193698,SITTING
-4.318269,7.410707,3.044605,SITTING
-4.357031,7.408285,2.936592,SITTING
-4.476949,7.368312,2.709856,SITTING
-4.507484,7.354988,2.604126,SITTING
-4.635175,7.316681,2.278661,SITTING
-4.890001,7.288367,1.438337,SITTING
-5.112274,7.257478,0.829024,SITTING
-5.223713,7.215689,0.667,SITTING
-5.26308,7.208421,0.638411,SITTING
-5.370309,7.136089,0.292265,SITTING
-5.404802,7.159969,0.279714,SITTING
-5.428681,7.106903,0.143336,SITTING
-5.446591,7.11818,0.147693,SITTING
-5.474451,7.11818,0.064568,SITTING
-5.545427,7.179869,0.046162,SITTING
-5.6038,7.209056,0.046595,SITTING
-5.632987,7.238242,0.046514,SITTING
-5.64758,7.252835,0.064177,SITTING
-5.65554,7.257479,0.068536,SITTING
-5.697329,7.271409,0.067248,SITTING
-5.711259,7.299268,0.080261,SITTING
-5.711259,7.327128,0.070623,SITTING
-5.725189,7.354988,0.079887,SITTING
-5.764326,7.369581,0.083072,SITTING
-5.753049,7.368918,0.08678,SITTING
-5.766979,7.396778,0.097311,SITTING
-5.808105,7.442547,0.124569,SITTING
-5.822699,7.438567,0.121676,SITTING
-5.862671,7.434934,0.165865,SITTING
-5.902644,7.448258,0.188026,SITTING
-5.942617,7.461582,0.235291,SITTING
-5.969265,7.448258,0.274704,SITTING
-6.009238,7.434934,0.365389,SITTING
-6.035887,7.408285,0.414261,SITTING
-6.073437,7.368918,0.466333,SITTING
-6.115227,7.354988,0.543539,SITTING
-6.169129,7.328339,0.639659,SITTING
-6.222426,7.288367,0.738877,SITTING
-6.275723,7.275042,0.837231,SITTING
-6.355669,7.248394,0.966236,SITTING
-6.435614,7.221745,0.981345,SITTING
-6.519194,7.173899,1.029247,SITTING
-6.669106,7.106903,1.018462,SITTING
-6.818687,7.033207,0.882174,SITTING
-6.844225,7.019343,0.862416,SITTING
